SMILES,target,MW,cLogP,cLogS,HBA,HBD,Total Surface Area,Rel. PSA,PSA,Rot. Bonds,Amides
CC(C)[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(NCc2cc3ccc2)=O)=O)n1)=O)NC3=O,41.206681848330696,821.5,3.0452,-6.508,13.0,5.0,644.43,0.29243,227.45,15.0,5.0
O=C(C[C@@H](C(N[C@H](CCCC1)[C@@H]1C(N(CCC1)C[C@H]1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,39.74796989085007,825.53,2.9212,-6.027,13.0,4.0,640.81,0.28174,218.66,14.0,5.0
O=C(C[C@@H](C(NCC(NC(CC1)CCC1CC(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,24.527463251624283,785.47,2.1131,-5.843,13.0,5.0,615.45,0.3062,227.45,14.0,5.0
OC[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2Cc3c[nH]cn3)=O)=O)n1)=O)NC2=O,13.128624730382676,813.44,-0.312,-4.362,16.0,7.0,628.35,0.36048,276.36,17.0,5.0
CC(C)[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2Cc3ccccc3)=O)=O)n1)=O)NC2=O,86.64762792782881,835.53,3.0732,-6.46,13.0,5.0,656.93,0.28686,227.45,17.0,5.0
OC[C@@H](C(NC(CC1)CCC1CC(NCCSCc1cccc(CSCCC(N[C@H]2CC(NCCOCCOCCCCCCCl)=O)=O)n1)=O)=O)NC2=O,26.662660910881982,815.49,1.5457,-5.714,14.0,6.0,634.3,0.31775,247.68,15.0,5.0
C[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2[C@H]3CCCC2)=O)=O)n1)=O)NC3=O,71.64447241968833,785.47,2.018,-5.951,13.0,5.0,612.69,0.30758,227.45,14.0,5.0
O=C(C[C@@H](C(NCC(N(CC1)CCC1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,94.22833247919164,757.42,1.5025,-4.593,13.0,4.0,588.03,0.30703,218.66,14.0,5.0
Oc1ccc(C[C@@H](C(NCCSCc2cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N3[C@H]4CC3)=O)=O)n2)=O)NC4=O)cc1,15.713666860235364,835.49,2.3294,-5.488,14.0,5.0,639.12,0.30298,238.89,16.0,5.0
CC(C)C[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2CC(N)=O)=O)=O)n1)=O)NC2=O,15.337216688417236,816.48,0.866,-5.416,15.0,6.0,637.2,0.34018,270.54,18.0,6.0
O=C(C[C@@H](C(N(C1)CC1C(NCc1cc(C(NCCSCc2cccc(CSCC3)n2)=O)ccc1)=O)=O)NC3=O)NCCOCCOCCCCCCCl,59.83218517644738,805.46,2.5917,-5.614,13.0,4.0,620.27,0.29107,218.66,14.0,5.0
OC[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2[C@H]3CCCC2)=O)=O)n1)=O)NC3=O,45.5319357399466,801.47,1.0913,-5.444,14.0,6.0,620.54,0.3248,247.68,15.0,5.0
C[C@@H](C(N[C@H](CCCC1)[C@@H]1C(NCCSCc1cccc(CSCCC(N[C@H]2CC(NCCOCCOCCCCCCCl)=O)=O)n1)=O)=O)N(C)C2=O,44.824443151395975,799.5,2.2845,-5.589,13.0,4.0,623.79,0.28942,218.66,14.0,5.0
O=C(C[C@@H](C(N(CC1)CCC1C(N(CCC1)[C@H]1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,63.904033184492015,797.48,2.4784,-4.995,13.0,3.0,613.39,0.28144,209.87,14.0,5.0
CC(C)C[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2Cc3c[nH]c4c3cccc4)=O)=O)n1)=O)NC2=O,16.85248393426658,888.59,3.567,-7.255,14.0,6.0,694.86,0.29134,243.24,18.0,5.0
C[C@H](C(NC(CC1)CCC1CC(NCCSCc1cccc(CSCCC(N[C@H]2CC(NCCOCCOCCCCCCCl)=O)=O)n1)=O)=O)NC2=O,21.581354847251546,799.5,2.4724,-6.221,13.0,5.0,626.45,0.30082,227.45,14.0,5.0
O=C(C[C@@H](C(N[C@@H](Cc1c[nH]c2c1cccc2)C(NC(CC1)CCC1CC(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,28.703643577551922,914.63,3.9537,-7.881,14.0,6.0,711.88,0.28437,243.24,16.0,5.0
C[C@H](C(N[C@@H](Cc(cc1)ccc1O)C(NCCSCc1cccc(CSCCC(N[C@H]2CC(NCCOCCOCCCCCCCl)=O)=O)n1)=O)=O)NC2=O,38.93380610303585,823.47,2.0548,-5.734,14.0,6.0,638.52,0.31565,247.68,16.0,5.0
O=C(C[C@@H](C(N(CCC1)[C@@H]1C(N(C1)CC1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,76.85800824703777,769.43,1.7944,-4.455,13.0,3.0,585.87,0.29466,209.87,14.0,5.0
CN(CC(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N2C[C@@H]3CCC2)=O)=O)n1)=O)C3=O,87.26060557458024,771.44,1.769,-4.231,13.0,3.0,599.13,0.28813,209.87,14.0,5.0
O=C(C[C@@H](C(N[C@@H](Cc1c[nH]cn1)C(N(CCC1)C[C@H]1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,29.36629578000165,837.51,1.5179,-4.945,15.0,5.0,648.62,0.31683,247.34,16.0,5.0
O=C(C[C@@H](C(N(CCC1)[C@H]1C(N(CCC1)[C@H]1C(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,56.856444159292735,783.45,2.1918,-4.943,13.0,3.0,599.63,0.28789,209.87,14.0,5.0
C[C@H]([C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N(C)[C@H]2C)=O)=O)n1)=O)NC2=O)O,25.052564236662214,775.43,0.6577,-4.404,14.0,5.0,600.86,0.32227,238.89,15.0,5.0
CC(C)C[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2C(C)C)=O)=O)n1)=O)NC2=O,48.29468342732606,801.51,2.7584,-6.025,13.0,5.0,634.19,0.29715,227.45,17.0,5.0
O=C(C[C@@H](C(N(CCC1)C[C@H]1C(NCCC(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,86.58992672561055,771.44,1.9569,-4.863,13.0,4.0,601.79,0.3,218.66,14.0,5.0
O=C(C[C@@H](C(N[C@@H](Cc1c[nH]c2c1cccc2)C(NCC(NCCSCc1cccc(CSCC2)n1)=O)=O)=O)NC2=O)NCCOCCOCCCCCCCl,44.169568399960625,832.49,2.0806,-6.177,14.0,6.0,645.34,0.3137,243.24,16.0,5.0
CC(C)C[C@@H](C(NCCSCc1cccc(CSCCC(N[C@@H](CC(NCCOCCOCCCCCCCl)=O)C(N[C@H]2Cc3c[nH]cn3)=O)=O)n1)=O)NC2=O,9.889407710291877,839.52,1.7418,-5.569,15.0,6.0,659.02,0.32383,256.13,18.0,5.0
